2025-09-13 12:16:26.768712,nakshatra,neutral
2025-09-13 12:16:26.887798,nakshatra,neutral
2025-09-13 12:16:27.018448,nakshatra,neutral
2025-09-13 12:16:27.136276,nakshatra,neutral
2025-09-13 12:16:27.260169,nakshatra,neutral
2025-09-13 12:16:27.371094,nakshatra,neutral
2025-09-13 12:16:27.474279,nakshatra,neutral
2025-09-13 12:16:27.580626,nakshatra,happy
2025-09-13 12:16:27.687912,nakshatra,happy
2025-09-13 12:16:27.789672,nakshatra,happy
2025-09-13 12:16:27.900344,nakshatra,happy
2025-09-13 12:16:28.011168,nakshatra,happy
2025-09-13 12:16:28.121353,nakshatra,happy
2025-09-13 12:16:28.217585,nakshatra,happy
2025-09-13 12:16:28.332296,nakshatra,happy
2025-09-13 12:16:28.441006,nakshatra,happy
2025-09-13 12:16:28.546722,nakshatra,happy
2025-09-13 12:16:28.650285,nakshatra,happy
2025-09-13 12:16:28.745626,nakshatra,happy
2025-09-13 12:16:28.849751,nakshatra,happy
2025-09-13 12:16:28.949002,nakshatra,happy
2025-09-13 12:16:29.047329,nakshatra,angry
2025-09-13 12:16:29.152213,nakshatra,neutral
2025-09-13 12:16:29.247573,nakshatra,sad
2025-09-13 12:16:29.347425,nakshatra,sad
2025-09-13 12:16:29.450799,nakshatra,sad
2025-09-13 12:16:29.552435,nakshatra,sad
2025-09-13 12:16:29.654232,nakshatra,neutral
2025-09-13 12:16:29.759950,nakshatra,neutral
2025-09-13 12:16:29.859683,nakshatra,sad
2025-09-13 12:16:29.960845,nakshatra,sad
2025-09-13 12:16:30.053181,nakshatra,sad
2025-09-13 12:16:30.192785,nakshatra,sad
2025-09-13 12:16:30.292934,nakshatra,sad
2025-09-13 12:16:30.387825,nakshatra,sad
2025-09-13 12:16:30.486711,nakshatra,sad
2025-09-13 12:16:30.582990,nakshatra,sad
2025-09-13 12:16:30.690700,nakshatra,sad
2025-09-13 12:16:30.782690,nakshatra,sad
2025-09-13 12:16:30.884797,nakshatra,neutral
2025-09-13 12:16:30.982061,nakshatra,sad
2025-09-13 12:16:31.075780,nakshatra,sad
2025-09-13 12:16:31.169565,nakshatra,angry
2025-09-13 12:16:31.265660,nakshatra,sad
2025-09-13 12:16:31.364945,nakshatra,sad
2025-09-13 12:16:31.458694,nakshatra,neutral
2025-09-13 12:16:31.561388,nakshatra,neutral
2025-09-13 12:16:31.658161,nakshatra,angry
2025-09-13 12:16:31.794283,nakshatra,angry
2025-09-13 12:16:31.891235,nakshatra,neutral
2025-09-13 12:16:31.988190,nakshatra,neutral
2025-09-13 12:16:32.090729,nakshatra,neutral
2025-09-13 12:16:32.188018,nakshatra,neutral
2025-09-13 12:16:32.289835,nakshatra,neutral
2025-09-13 12:16:32.390617,nakshatra,neutral
2025-09-13 12:16:32.494340,nakshatra,neutral
2025-09-13 12:16:32.598062,nakshatra,neutral
2025-09-13 12:16:32.700989,nakshatra,neutral
2025-09-13 12:16:32.801720,nakshatra,neutral
2025-09-13 12:16:32.893983,nakshatra,neutral
2025-09-13 12:16:32.993377,nakshatra,angry
2025-09-13 12:16:33.088947,nakshatra,angry
2025-09-13 12:16:33.185138,nakshatra,angry
2025-09-13 12:16:33.278696,nakshatra,happy
2025-09-13 12:16:33.374930,nakshatra,happy
2025-09-13 12:16:33.473666,nakshatra,happy
2025-09-13 12:16:33.573297,nakshatra,happy
2025-09-13 12:16:33.677607,nakshatra,happy
2025-09-13 12:16:33.796312,nakshatra,happy
2025-09-13 12:16:33.908021,nakshatra,happy
2025-09-13 12:16:34.008715,nakshatra,happy
2025-09-13 12:16:34.111642,nakshatra,happy
